bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Harikrishna Travels,Non A/C Seater / Sleeper (2+1),03:00,03h 30m,06:30,3.0,646,13
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Harikrishna Travels,Volvo Multi-Axle A/C Sleeper (2+1),03:45,03h 20m,07:05,3.0,760,38
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,GDR Tours and Travels,Bharat Benz A/C Seater (2+2),17:30,03h 30m,21:00,3.7,500,45
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Orange Tours And Travels,A/C Sleeper (2+1),22:00,03h 45m,01:45,3.6,800,33
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,SLVR Travels,Non A/C Seater / Sleeper (2+1),04:00,02h 40m,06:40,,590,20
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Morning Star Travels,A/C Sleeper (2+1),04:40,03h 25m,08:05,2.6,490,7
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,MVN Travels,Non A/C Seater / Sleeper (2+1),02:30,04h 00m,06:30,3.0,2000,1
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Harikrishna Travels,Non A/C Seater / Sleeper (2+1),05:00,04h 00m,09:00,3.0,941,32
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Saini Travels Pvt. Ltd.,AC Sleeper (2+1),21:30,04h 10m,01:40,3.8,951,24
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Vijayant Travels,A/C Sleeper (2+1),21:45,03h 30m,01:15,3.9,1140,24
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,MVN Tours and Travels,Non A/C Seater / Sleeper (2+1),02:30,04h 00m,06:30,,3800,38
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Anish Travels,Non A/C Seater / Sleeper (2+1),02:30,04h 00m,06:30,,4999,43
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Shri Mahadev (f.d.m),NON A/C Sleeper (2+1),21:45,05h 30m,03:15,1.7,1000,32
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,VRL Travels,A/C Sleeper (2+1),20:00,04h 00m,00:00,3.4,800,35
