bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Zingbus Plus,A/C Sleeper (2+1),20:50,04h 15m,01:05,3.6,1012,27
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Zingbus Plus,A/C Sleeper (2+1),22:30,04h 10m,02:40,3.6,926,25
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,BigBus,Volvo 9600 Multi-Axle A/C Sleeper (2+1),15:00,02h 30m,17:30,3.8,899,8
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,YAS TOURS AND TRAVELS,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),16:15,03h 15m,19:30,4.7,1400,10
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,JBT TRAVELS,A/C Sleeper (2+1),16:30,06h 15m,22:45,3.5,1299,13
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,True Bus,Volvo Multi Axle B9R A/C Sleeper (2+1),17:00,05h 30m,22:30,3.1,1099,14
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,True Bus,Volvo Multi Axle B9R A/C Sleeper (2+1),17:00,05h 30m,22:30,3.1,1199,3
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),18:30,06h 34m,01:04,4.4,780,36
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Moksha Travels,A/C Sleeper (2+1),17:00,06h 45m,23:45,4.0,949,20
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),17:02,06h 32m,23:34,4.6,700,33
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Jagan Travels,Mercedes Benz Multi-Axle A/C Sleeper (2+1),17:20,05h 40m,23:00,4.2,765,29
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Sri Vaari Travels,A/C Sleeper (2+1),17:45,04h 15m,22:00,4.2,1500,17
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Sri Krishna Travels,A/C Sleeper (2+1),17:45,06h 14m,23:59,3.5,1200,26
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),17:45,06h 45m,00:30,3.5,800,25
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Yolo Bus,Bharat Benz A/C Sleeper (2+1),17:50,05h 55m,23:45,4.4,909,30
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Vikram Travels,A/C Sleeper (2+1),18:00,06h 30m,00:30,4.1,799,20
