bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,MVN Travels,Non A/C Seater / Sleeper (2+1),02:30,04h 30m,07:00,3.0,2000,1
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,New Royal Travels (Raipur),A/C Seater / Sleeper (2+1),15:15,04h 45m,20:00,3.5,849,29
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,GDR Tours and Travels,Bharat Benz A/C Seater (2+2),17:30,04h 00m,21:30,3.5,500,35
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,New Royal Travels (Raipur),Bharat Benz A/C Sleeper (2+1),17:30,04h 15m,21:45,3.5,1295,25
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Sahara Tours and Travels,Bharat Benz A/C Seater (2+2),18:00,03h 45m,21:45,3.7,500,44
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Orange Tours And Travels,Volvo Multi-Axle A/C Semi Sleeper (2+2),18:00,04h 00m,22:00,3.3,500,26
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),19:00,04h 15m,23:15,3.3,900,29
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Saini Travels Pvt. Ltd.,Volvo Multi Axle Sleeper B11R (2+1),19:20,06h 25m,01:45,3.8,1100,36
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Muskan Travels,NON A/C Sleeper (2+1),21:45,05h 45m,03:30,3.4,577,30
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Pooja Travels,A/C Sleeper (2+1),20:00,07h 30m,03:30,3.9,1100,22
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Muskan Travels,NON A/C Sleeper (2+1),21:45,05h 45m,03:30,3.4,659,28
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,New Royal Travels (Raipur),Bharat Benz A/C Sleeper (2+1),20:00,04h 45m,00:45,3.5,1238,25
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Pooja Travels,A/C Sleeper (2+1),20:10,06h 20m,02:30,3.9,1100,24
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Pooja Travels,NON A/C Seater (2+2),21:00,05h 00m,02:00,3.9,700,24
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Ameena Travels,A/C Sleeper (2+1),21:50,05h 10m,03:00,4.4,900,27
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Pooja Travels,NON A/C Sleeper (2+1),22:00,04h 30m,02:30,3.9,900,18
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Lucky travels,A/C Sleeper (2+1),22:15,03h 45m,02:00,3.6,830,35
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Sitara Travels,NON A/C Airbus (2+2),22:15,06h 00m,04:15,3.6,399,33
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Metro Tours and Travels,NON A/C Sleeper (2+1),22:15,06h 00m,04:15,2.4,599,25
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Savera Tours and Travels,NON A/C Sleeper (2+1),22:15,06h 00m,04:15,4.3,599,23
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,MDK TOURS AND TRAVELS,Non A/C Seater / Sleeper (2+1),22:30,04h 30m,03:00,3.2,469,28
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Saini Travels Pvt. Ltd.,Volvo 9600 Multi-Axle A/C Sleeper (2+1),22:30,04h 00m,02:30,3.8,1100,42
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Anish Travels,Non A/C Seater / Sleeper (2+1),02:30,04h 40m,07:10,,4999,43
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Harikrishna Travels,Non A/C Seater / Sleeper (2+1),03:00,04h 00m,07:00,2.0,646,13
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Harikrishna Travels,Volvo Multi-Axle A/C Sleeper (2+1),03:45,03h 45m,07:30,2.0,800,38
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,SLVR Travels,Non A/C Seater / Sleeper (2+1),04:00,02h 50m,06:50,,590,21
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Morning Star Travels,A/C Sleeper (2+1),04:40,04h 05m,08:45,2.6,490,7
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Harikrishna Travels,Non A/C Seater / Sleeper (2+1),05:00,04h 30m,09:30,2.0,941,39
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Shri Mahadev (f.d.m),NON A/C Sleeper (2+1),21:45,06h 00m,03:45,1.7,1000,32
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Orange Tours And Travels,A/C Sleeper (2+1),22:00,04h 00m,02:00,2.3,850,33
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,MVN Tours and Travels,Non A/C Seater / Sleeper (2+1),02:30,04h 30m,07:00,,3800,38
