bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1268,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",03:00,07h 00m,10:00,4.5,442,29
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 9641,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",03:30,07h 10m,10:40,4.1,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1393,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",03:30,06h 00m,09:30,4.7,442,27
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1225,Rajdhani (AC Semi Sleeper 2+2),04:00,06h 00m,10:00,4.1,524,28
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1290,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:20,06h 00m,10:20,3.6,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1270,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:40,07h 00m,11:40,4.6,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 9605,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:45,07h 55m,12:40,3.6,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1238,Rajdhani (AC Semi Sleeper 2+2),05:00,07h 00m,12:00,4.5,524,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1214,Rajdhani (AC Semi Sleeper 2+2),05:00,06h 00m,11:00,4.3,524,27
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 8600,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:20,05h 30m,10:50,3.3,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1309,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:20,07h 00m,12:20,4.4,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1242,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:20,08h 20m,13:40,4.4,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 9633,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:20,07h 00m,13:20,3.8,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 9607,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:25,08h 15m,14:40,4.5,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1240,Rajdhani (AC Semi Sleeper 2+2),07:00,06h 00m,13:00,4.4,524,29
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1248,Rajdhani (AC Semi Sleeper 2+2),07:00,07h 00m,14:00,3.8,524,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1944,Deluxe (Non AC Seater 2+2),08:20,07h 15m,15:35,4.6,390,34
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1364,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:40,07h 00m,15:40,4.3,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1258,Rajdhani (AC Semi Sleeper 2+2),09:00,06h 00m,15:00,4.3,524,27
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1351,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:20,07h 00m,16:20,3.8,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 9639,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:40,07h 00m,16:40,3.1,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 9496,Deluxe (Non AC Seater 2+2),09:40,08h 20m,18:00,3.1,390,35
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1272,Rajdhani (AC Semi Sleeper 2+2),10:00,06h 00m,16:00,4.0,524,30
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1245,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:00,07h 00m,18:00,4.2,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 8273,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:10,05h 40m,16:50,3.8,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1236,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:20,07h 00m,18:20,3.1,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 9637,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:40,07h 00m,18:40,4.7,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1274,Rajdhani (AC Semi Sleeper 2+2),12:00,06h 00m,18:00,4.2,524,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1288,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:20,07h 00m,19:20,2.8,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 9616,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:40,07h 40m,21:20,3.0,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1282,Rajdhani (AC Semi Sleeper 2+2),14:00,06h 00m,20:00,3.7,524,14
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 8271,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:20,05h 40m,20:00,3.3,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 9618,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:25,07h 55m,22:20,4.1,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1260,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:40,07h 00m,21:40,3.9,442,31
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 9635,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:40,08h 00m,22:40,3.5,442,26
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,TSRTC - 1964,Deluxe (Non AC Seater 2+2),15:00,07h 15m,22:15,3.8,390,35
