bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,VSR Tours and Travels,A/C Sleeper (2+1),00:14,05h 46m,06:00,4.4,649,6
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),00:40,05h 50m,06:30,3.6,720,4
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),00:40,04h 20m,05:00,3.8,650,2
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,MAHABAHUSRIKVRTRAVELS,Non A/C Seater / Sleeper (2+1),02:00,04h 35m,06:35,3.2,850,13
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Keerthana Sai Travels,Non A/C Seater / Sleeper (2+1),04:30,03h 00m,07:30,3.2,790,2
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04h 20m,04:00,4.3,560,27
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05h 20m,05:00,3.4,400,36
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,3.8,500,28
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,RRR Travels,A/C Seater / Sleeper (2+1),23:50,05h 40m,05:30,4.6,600,40
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,A/C Sleeper (2+1),23:58,05h 02m,05:00,3.2,580,26
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,A/C Sleeper (2+1),23:59,06h 01m,06:00,4.2,800,13
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:59,05h 01m,05:00,3.8,600,32
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),23:59,06h 11m,06:10,3.1,600,32
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,SAIRAJ TRAVELS,A/C Seater / Sleeper (2+1),23:59,05h 31m,05:30,5.0,610,26
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,05h 01m,05:00,4.4,470,26
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,05h 01m,05:00,4.4,470,35
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,A/C Seater / Sleeper (2+1),23:59,06h 01m,06:00,4.6,580,25
