bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),00:30,05h 45m,06:15,3.8,610,24
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),00:45,05h 15m,06:00,4.8,550,49
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,MAA Anada (UNDER ASTC),AC Seater (2+2),04:00,04h 30m,08:30,3.8,427,40
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Orient Transline,A/C Seater (2+1),04:40,04h 20m,09:00,4.4,457.14,34
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Orient Transline,A/C Seater (2+1),05:30,05h 00m,10:30,4.0,476.19,34
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Mahalaxmi Travels,Tata A/C Seater (2+2),05:40,04h 50m,10:30,3.4,410,40
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Orient Transline,A/C Seater (2+1),06:10,04h 50m,11:00,3.7,476.19,37
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Karisma (Aziba),NON A/C Seater (2+1),08:45,05h 25m,14:10,4.4,450,24
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Pranjit Travels (Under ASTC),Non AC Seater (2+1),09:00,06h 00m,15:00,3.4,500,37
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),09:45,06h 00m,15:45,3.6,500,28
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Pranjit Travels (Under ASTC),A/C Seater (2+1),10:15,06h 15m,16:30,3.5,550,28
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Pranjit Travels (Under ASTC),A/C Seater (2+1),10:30,05h 00m,15:30,4.2,550,30
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Pranjit Travels (Under ASTC),Non AC Seater (2+1),10:45,06h 00m,16:45,3.3,500,37
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Chartered Bus - ASTC,A/C Seater Push Back (2+2),11:00,05h 15m,16:15,4.3,551.37,36
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Priyanka,Non AC Seater (2+1),22:00,07h 30m,05:30,4.5,450,34
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Pranjit Travels (Under ASTC),Non AC Seater (2+1),23:15,06h 15m,05:30,3.6,500,37
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Narayan Travels,NON A/C Seater (2+2),11:30,05h 15m,16:45,,430,40
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,07h 30m,03:30,2.4,450,31
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),23:45,06h 45m,06:30,2.8,500,25
