bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Assam State Transport Corporation (ASTC) - 150573,Bharat Benz A/C Seater (2+2),05:00,06h 00m,11:00,4.1,410,33
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Rizwan Travels,A/C Seater (2+2),05:15,06h 30m,11:45,3.6,370,40
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),20:15,07h 15m,03:30,2.6,350,40
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),11:15,07h 30m,18:45,1.7,300,41
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Arifa Travels,Non AC Seater (2+2),05:30,05h 30m,11:00,1.9,300,44
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,MAA MONOSHA TRAVELS,NON A/C Seater (2+1),20:00,07h 30m,03:30,2.2,350,38
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Maa monosha travels,Non AC Seater (2+2),06:45,07h 00m,13:45,1.7,350,40
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Maa monosha travels,Non AC Seater (2+2),06:15,07h 00m,13:15,1.7,350,40
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Rizwan Travels,Non AC Seater (2+2),12:15,07h 00m,19:15,3.6,300,45
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Rizwan Travels,Non AC Seater (2+2),12:30,07h 30m,20:00,3.6,300,45
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),13:15,07h 15m,20:30,2.4,300,41
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Arifa Travels,Non AC Seater (2+2),06:40,06h 50m,13:30,1.8,300,44
