bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Assam State Transport Corporation (ASTC) - 166134,Bharat Benz A/C Seater (2+2),10:30,05h 00m,15:30,4.1,207,35
Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Bashudev Transline (Under ASTC),A/C Seater (2+1),06:45,03h 45m,10:30,3.5,550,37
Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Aroti Travels (Under ASTC),Non AC Seater (2+2),06:51,03h 09m,10:00,3.8,250,37
Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),07:30,03h 45m,11:15,4.8,575,35
Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,RAYAN TRAVELS,Bharat Benz A/C Seater (2+1),07:30,03h 15m,10:45,3.7,600,38
Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Chartered Bus - ASTC,A/C Seater Push Back (2+2),08:00,03h 00m,11:00,4.7,647.8,38
Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Ankur Travels (Under ASTC),NON A/C Push Back (2+2),14:45,04h 45m,19:30,3.1,250,37
Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Maa Laxmi,NON A/C Seater Push Back (2+1),17:30,04h 00m,21:30,3.0,500,35
Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Aniruddha Travels,AC Seater (2+2),07:30,03h 40m,11:10,2.7,550,44
Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,NEELAKANTHA (RIYA),Tempo Traveler NON A/C,15:45,04h 15m,20:00,250,250,20
