bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),Non AC Seater (2+1),08:00,07h 00m,15:00,4.2,570,37
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Chartered Bus - ASTC,A/C Seater Push Back (2+2),09:30,06h 45m,16:15,4.4,551.37,36
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,KIRAN TRAVELS,A/C Seater (2+1),22:50,08h 40m,07:30,4.1,600,28
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),23:05,06h 55m,06:00,4.3,620,49
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Deep Travels,NON AC Seater / Sleeper 2+1,22:20,06h 40m,05:00,3.8,499,31
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),Non AC Seater (2+1),09:20,07h 25m,16:45,3.9,570,37
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Narayan Travels,NON A/C Seater (2+2),09:40,07h 05m,16:45,,500,40
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),22:45,07h 30m,06:15,3.2,650,31
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,NORTH EAST TRAVELS(UNDER ASTC),NON A/C Seater (2+1),20:00,10h 00m,06:00,2.6,500,26
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),22:20,07h 40m,06:00,3.9,500,50
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),Non AC Seater (2+1),08:25,07h 20m,15:45,4.5,570,28
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),A/C Seater (2+1),09:05,07h 25m,16:30,3.7,600,25
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Karisma (Aziba),NON A/C Seater (2+1),07:40,06h 30m,14:10,4.8,480,35
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),Non AC Seater (2+1),22:20,08h 10m,06:30,3.8,570,29
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,GURUNANAK TRAVELS,NON A/C Seater (2+1),21:00,08h 00m,05:00,3.1,500,32
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:45,07h 45m,05:30,2.6,570,30
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),A/C Seater (2+1),09:15,06h 15m,15:30,3.9,630,30
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Priyanka,Non AC Seater (2+1),21:00,08h 30m,05:30,3.4,500,34
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Sylvan DEE Transport,Non AC Seater (2+1),21:05,07h 55m,05:00,3.1,470,2
