bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Karisma (Aziba),NON A/C Seater (2+1),05:45,06h 05m,11:50,4.5,400,33
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),Non AC Seater (2+1),06:30,05h 30m,12:00,3.4,500,27
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),Non AC Seater (2+1),06:30,05h 45m,12:15,3.6,500,28
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Chartered Bus - ASTC,A/C Seater Push Back (2+2),07:00,05h 00m,12:00,4.8,551.37,35
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),Non AC Seater (2+1),07:45,07h 15m,15:00,3.4,500,37
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),A/C Seater (2+1),08:45,06h 00m,14:45,3.6,550,37
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),09:30,05h 30m,15:00,3.5,400,31
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Orient Transline,A/C Seater (2+1),11:30,05h 10m,16:40,4.1,476.19,33
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Mahalaxmi Travels,Tata A/C Seater (2+2),14:35,05h 25m,20:00,4.7,410,40
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,KIRAN TRAVELS,Non AC Seater (2+1),19:15,06h 45m,02:00,3.4,450,37
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),19:15,06h 15m,01:30,3.3,500,31
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),19:15,06h 45m,02:00,4.6,500,50
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),Non AC Seater (2+1),20:30,06h 30m,03:00,4.0,500,34
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:45,06h 45m,03:30,3.7,550,47
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,MAHARATHI TRANSPORT,NON A/C Semi Sleeper (2+1),20:55,05h 05m,02:00,3.7,500,28
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),21:30,06h 15m,03:45,3.2,600,34
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Narayan Travels,AC Seater (2+2),05:00,06h 35m,11:35,,430,40
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,MAA Anada (UNDER ASTC),AC Seater (2+2),09:30,06h 45m,16:15,1.9,384.3,40
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,NORTH EAST TRAVELS(UNDER ASTC),NON A/C Seater (2+1),20:15,06h 15m,02:30,2.5,500,26
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),Non AC Seater (2+1),21:45,05h 15m,03:00,2.9,500,34
