bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Assam State Transport Corporation (ASTC) - 150574,Bharat Benz A/C Seater (2+2),12:00,07h 00m,19:00,3.4,410,34
Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Rizwan Travels,Non AC Seater (2+2),04:45,06h 15m,11:00,3.6,300,45
Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Rizwan Travels,Non AC Seater (2+2),05:15,06h 15m,11:30,3.6,300,45
Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Yatra,Non AC Seater (2+2),08:15,07h 15m,15:30,2.3,350,40
Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Maa monosha travels,A/C Seater (2+2),12:30,07h 00m,19:30,1.7,350,41
Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Yatra,Non AC Seater (2+2),06:30,06h 15m,12:45,1.1,300,41
Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Maa monosha travels,Non AC Seater (2+2),14:00,07h 30m,21:30,1.7,350,40
Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Maa monosha travels,Non AC Seater (2+2),14:30,07h 30m,22:00,1.7,350,40
Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Rizwan Travels,A/C Seater (2+2),13:30,06h 00m,19:30,3.6,350,40
Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,MAA MONOSHA TRAVELS,NON A/C Seater (2+1),10:00,07h 30m,17:30,2.2,350,38
