bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Kareng Travels,Non AC Seater (2+1),05:00,02h 30m,07:30,4.7,300,37
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,06:15,03h 00m,09:15,4.9,270.01,37
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Pranjit Travels (Under ASTC),Non AC Seater (2+1),06:30,03h 30m,10:00,3.8,400,27
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,NETWORK TRAVELS,NON A/C Seater (2+2),06:30,03h 30m,10:00,3.7,350,40
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),06:45,02h 45m,09:30,4.3,300,37
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,07:30,02h 00m,09:30,4.7,270.01,30
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,JOY HANUMAN,Non AC Seater (2+2),07:40,02h 50m,10:30,4.2,200,35
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,08:30,02h 15m,10:45,4.5,324.04,41
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,NEELKANTH TRAVELS,A/C Seater Push Back (2+2),09:05,02h 55m,12:00,4.5,250,41
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,MAA Anada (UNDER ASTC),AC Seater (2+2),09:30,03h 30m,13:00,3.3,247.5,40
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Kareng Travels,A/C Seater (2+1),09:30,03h 30m,13:00,4.6,300,36
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Orient Transline,A/C Seater (2+1),11:30,02h 55m,14:25,4.0,285.71,35
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Anindita Travels,NON A/C Seater (2+1),12:30,03h 15m,15:45,4.1,400,37
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Mahalaxmi Travels,Tata A/C Seater (2+2),14:35,02h 05m,16:40,3.1,250,40
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Narayan Travels,AC Seater (2+2),05:00,02h 45m,07:45,,200,40
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Baikuntha Transport Service,Bharat Benz A/C Seater (2+1),08:00,03h 30m,11:30,2.0,439,37
