bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Assam State Transport Corporation (ASTC) - 173420,Bharat Benz A/C Seater (2+2),07:00,03h 35m,10:35,4.8,333,22
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Pranjit Travels (Under ASTC),A/C Seater (2+1),07:00,04h 00m,11:00,3.6,571.43,20
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Chartered Bus - ASTC,A/C Seater Push Back (2+2),07:45,03h 45m,11:30,4.6,551.37,14
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Sparrow Travels (Under ASTC),A/C Seater Push Back (2+2),10:40,05h 20m,16:00,3.0,420,39
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,KRISHNA CHARAN TRAVELS,A/C Seater Push Back (2+2),12:00,04h 30m,16:30,3.7,450,40
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Sparrow Travels (Under ASTC),Non AC Seater (2+2),12:30,06h 15m,18:45,3.0,350,40
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Mahadev K.P.,Tata A/C Seater (2+2),05:00,05h 15m,10:15,2.0,460,41
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Mahadev K.P.,Tata A/C Seater (2+2),05:20,05h 10m,10:30,2.0,460,41
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Narayan Travels,AC Seater (2+2),07:20,05h 25m,12:45,,350,38
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Ruma Travels (Under ASTC),Non AC Seater (2+2),08:30,07h 00m,15:30,1.0,350,41
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Debarath,A/C Seater Hi-Tech Push Back (2+2),10:00,05h 45m,15:45,1.7,460,40
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,B.M. Travels (Swastidut) - Under ASTC,Non AC Seater (2+2),10:30,05h 50m,16:20,2.4,350,41
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Mayur Travels (Under ASTC),Non AC Seater (2+2),12:15,05h 45m,18:00,350,350,43
