bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,MAA Anada (UNDER ASTC),AC Seater (2+2),05:20,03h 10m,08:30,3.2,304.2,26
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,WARISPIYA TRAVELS,AC Seater (2+2),05:45,03h 15m,09:00,3.9,360,19
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Orient Transline,A/C Seater (2+1),05:55,03h 05m,09:00,4.1,352.38,2
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),06:30,03h 55m,10:25,4.2,360,13
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,WARISPIYA TRAVELS,AC Seater (2+2),07:45,04h 15m,12:00,4.1,360,30
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,A/C Seater Push Back (2+2),11:30,04h 45m,16:15,3.9,324.47,15
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:00,04h 00m,17:00,4.6,389.13,28
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,14:30,04h 00m,18:30,4.5,432.06,32
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,15:30,03h 45m,19:15,4.6,389.13,30
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Vihaan Travels,A/C Seater (2+1),05:15,03h 30m,08:45,2.0,350,15
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Upasana Travels (Under ASTC),A/C Seater (2+2),06:30,04h 10m,10:40,1.7,285,16
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Upasana Travels (Under ASTC),Non AC Seater (2+2),06:50,04h 10m,11:00,2.6,290,19
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Brindaban Travels,Non AC Seater (2+2),09:15,04h 00m,13:15,2.7,375,35
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Pranjit Travels (Under ASTC),A/C Seater (2+1),11:00,05h 30m,16:30,2.9,450,21
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Narayan Travels,AC Seater (2+2),12:45,04h 00m,16:45,,300,38
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Maya Travels,Tata A/C Seater (2+2),13:00,04h 30m,17:30,1.6,300,39
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,06h 00m,03:30,2.9,400,31
