bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),00:05,04h 50m,04:55,3.8,514,29
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Holiday Appeal Private Limited,Volvo A/C Semi Sleeper (2+2),00:10,05h 50m,06:00,4.2,760,41
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),00:20,04h 05m,04:25,3.8,448,28
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,AdAwadh Travels,A/C Sleeper (2+2),04:00,04h 40m,08:40,Ad,892,46
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),00:30,04h 50m,05:20,3.9,555,35
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,FlixBus,Volvo AC Seater (2+2),00:30,04h 50m,05:20,4.0,592,28
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),00:30,04h 15m,04:45,4.4,569,32
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),00:55,04h 35m,05:30,5.0,504,14
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),00:30,05h 40m,06:10,4.7,650,33
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),00:30,04h 00m,04:30,3.5,529,26
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Holiday Appeal Private Limited,Volvo A/C Semi Sleeper (2+2),00:40,05h 50m,06:30,4.2,760,41
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Bedi Travels,Volvo 9600 A/C Semi Sleeper (2+2),01:45,04h 15m,06:00,4.6,630,22
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),00:50,04h 10m,05:00,3.0,488,27
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Deltin Travels,Volvo 9600 A/C Semi Sleeper (2+2),00:45,04h 25m,05:10,3.1,600,34
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Raghukul Holidays,Volvo A/C Semi Sleeper (2+2),00:50,04h 10m,05:00,3.5,749,36
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),00:40,04h 20m,05:00,4.5,487,33
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),01:15,04h 15m,05:30,3.0,529,30
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Bedi Travels,Volvo 9600 Multi Axle Semi-Sleeper (2+2),01:00,04h 30m,05:30,4.5,630,26
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),01:00,04h 30m,05:30,4.5,570,31
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Northern Travels,Volvo A/C Semi Sleeper (2+2),01:00,04h 15m,05:15,3.3,665,27
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Deltin Travels,Scania Multi-Axle AC Semi Sleeper (2+2),01:00,04h 00m,05:00,4.1,700,35
