bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater (2+2),05:00,05h 10m,10:10,,314,15
Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater (2+2),06:00,04h 30m,10:30,,314,31
Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater (2+2),07:00,04h 30m,11:30,,314,36
Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater (2+2),09:00,04h 30m,13:30,,314,27
Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater (2+2),11:00,05h 10m,16:10,,314,21
Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater (2+2),13:00,04h 30m,17:30,,314,31
Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater (2+2),14:00,04h 30m,18:30,,314,28
Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Venson Transports,Non AC Seater (2+3),16:20,05h 40m,22:00,3.7,245,58
Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,NueGo,Electric A/C Seater (2+2),18:00,05h 40m,23:40,,314,25
Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,IntrCity SmartBus,A/C Seater / Sleeper (2+1),18:00,05h 25m,23:25,4.9,523,36
