bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,SUVARNAMUKHI TRAVELS,NON A/C Seater (2+3),08:00,07h 30m,15:30,3.4,350,9
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,BHAIRAVA TOURS AND TRAVELS,Non A/C Seater / Sleeper (2+1),19:15,07h 45m,03:00,4.1,899,16
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Giridhar Tours and Travels,A/C Seater/Sleeper (2+1),19:24,07h 51m,03:15,4.1,940,12
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Royal Voyage Travels (RVT),A/C Seater / Sleeper (2+1),19:30,07h 55m,03:25,4.2,999,19
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Abhishek Bus,Scania Multi-Axle AC Semi Sleeper (2+2),20:00,07h 00m,03:00,3.2,1200,35
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Sri Vengamamba Bus Transport (SVBT),Non A/C Seater / Sleeper (2+1),20:00,06h 00m,02:00,4.7,853,30
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Maheswari Travels,Non A/C Seater / Sleeper (2+1),20:05,07h 55m,04:00,3.9,1099,37
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,CGR Travels,NON A/C Semi Sleeper / Sleeper (2+1),20:10,09h 35m,05:45,3.5,750,4
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,CGR Travels,Non A/C Seater / Sleeper (2+1),20:10,08h 30m,04:40,4.1,890,21
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,CGR Travels,Non A/C Seater / Sleeper (2+1),20:15,08h 30m,04:45,4.2,800,4
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Maheswari Travels,Non A/C Seater / Sleeper (2+1),20:15,07h 45m,04:00,3.7,1099,34
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,AR & BCVR Travels,Non A/C Seater / Sleeper (2+1),20:25,08h 35m,05:00,3.9,1200,39
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Sri Shrinivasa Bus Transport (SSBT),Non A/C Seater / Sleeper (2+1),20:30,06h 00m,02:30,4.2,1090,24
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Sri Vengamamba Bus Transport (SVBT),Non A/C Seater / Sleeper (2+1),20:30,06h 00m,02:30,4.2,1090,20
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Indu Travels,Non A/C Seater / Sleeper (2+1),20:35,07h 50m,04:25,3.7,999,29
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,HARITHA TRAVELS,Non A/C Seater / Sleeper (2+1),20:40,07h 20m,04:00,3.7,999,18
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Sri Vinayaka Travels,NON A/C Seater/ Sleeper (2+1),20:40,07h 50m,04:30,4.2,799,7
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,HARITHA TRAVELS,A/C Seater / Sleeper (2+1),20:40,07h 50m,04:30,3.5,1200,25
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Sri Vengamamba Bus Transport (SVBT),Non A/C Seater / Sleeper (2+1),20:45,06h 00m,02:45,4.1,990,25
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Indu Travels,Non A/C Seater / Sleeper (2+1),20:50,06h 50m,03:40,3.7,999,33
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,AR & BCVR Travels,Non A/C Seater / Sleeper (2+1),21:00,07h 00m,04:00,4.1,1200,40
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Abhishek Bus,Scania Multi-Axle AC Semi Sleeper (2+2),21:00,06h 40m,03:40,4.4,949,26
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,PRL BUS,Non A/C Seater / Sleeper (2+1),21:00,07h 15m,04:15,4.3,900,28
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Sri Vengamamba Bus Transport (SVBT),Non A/C Seater / Sleeper (2+1),21:15,05h 45m,03:00,3.7,1090,26
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,AR & BCVR Travels,Non A/C Seater / Sleeper (2+1),21:30,06h 30m,04:00,4.5,1200,40
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,INDHU BUS,Non A/C Seater / Sleeper (2+1),21:40,07h 00m,04:40,3.8,900,18
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,INDHU BUS,Non A/C Seater / Sleeper (2+1),21:40,07h 00m,04:40,3.8,999,8
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Abhishek Bus,A/C Sleeper (2+1),23:30,05h 00m,04:30,3.0,1249,23
