bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:30,08h 15m,05:45,4.3,670,31
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Go Tour Travels and Holidays,A/C Sleeper (2+1),23:25,07h 33m,06:58,4.3,1321,27
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Nani Svkdt Travels,A/C Sleeper (2+1),21:45,07h 41m,05:26,4.1,1030,26
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,LVP Travels,A/C Seater / Sleeper (2+1),21:20,08h 10m,05:30,4.4,600,39
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,NueGo,Electric A/C Seater (2+2),22:05,08h 22m,06:27,,427,30
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Sri Atluri Travels,A/C Seater / Sleeper (2+1),21:15,07h 30m,04:45,4.0,888,32
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,BSR Tours And Travels,A/C Sleeper (2+1),23:25,07h 20m,06:45,4.4,1280,24
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,BSR Tours And Travels,VE A/C Sleeper (2+1),23:25,07h 35m,07:00,4.6,1280,23
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Holidays Tours and Travels,A/C Seater / Sleeper (2+1),22:20,07h 28m,05:48,4.6,701,30
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Orange Tours And Travels,NON A/C Sleeper (2+1),21:45,08h 17m,06:02,3.8,800,35
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Mythri Tours And Travels,A/C Sleeper (2+1),23:57,06h 33m,06:30,4.4,999,24
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:15,07h 45m,05:00,3.8,670,31
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Nani Svkdt Travels,A/C Sleeper (2+1),22:16,07h 29m,05:45,4.1,1030,17
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,NueGo,Electric A/C Seater (2+2),22:50,08h 22m,07:12,,427,33
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),22:15,08h 00m,06:15,3.2,900,30
