bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,KK Travels,Non A/C Seater / Sleeper (2+1),00:45,04h 45m,05:30,3.5,660,41
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Sri Balaji Transports,A/C Sleeper (2+1),00:45,04h 15m,05:00,4.2,1090,22
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Sri Balaji Transports,Non A/C Seater / Sleeper (2+1),00:55,04h 35m,05:30,4.2,660,33
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Indu Travels,Non A/C Seater / Sleeper (2+1),00:55,05h 40m,06:35,3.7,449,41
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Sri Tulasi Tours and Travels,A/C Sleeper (2+1),00:59,04h 31m,05:30,3.3,1049,33
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Sri Balaji Transports,Non AC Seater (2+2),01:00,05h 00m,06:00,4.2,515,40
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Zingbus Plus,A/C Sleeper (2+1),03:00,04h 35m,07:35,3.8,761,23
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Zingbus Plus,A/C Sleeper (2+1),02:05,04h 20m,06:25,3.8,599,26
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Sri Balaji Transports,A/C Seater / Sleeper (2+1),01:00,04h 00m,05:00,4.2,699,36
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,KK Travels,A/C Sleeper (2+1),01:15,04h 05m,05:20,3.5,1090,30
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,BHAIRAVA TOURS AND TRAVELS,Non A/C Seater / Sleeper (2+1),01:31,04h 29m,06:00,3.5,399,32
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Zingbus Plus,Scania AC Multi Axle Sleeper (2+1),04:05,04h 30m,08:35,3.8,515,31
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Ramana Tours And Travels,A/C Sleeper (2+1),02:00,05h 30m,07:30,4.3,850,29
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Zingbus Plus,A/C Sleeper (2+1),02:30,05h 05m,07:35,3.8,800,21
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Sri Tulasi Tours and Travels,A/C Sleeper (2+1),02:00,03h 30m,05:30,3.3,1249,26
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,S.L Travels,NON A/C Sleeper (2+1),02:00,02h 30m,04:30,3.8,750,32
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,BSR Tours And Travels,Scania AC Multi Axle Sleeper (2+1),02:20,03h 40m,06:00,4.5,1080,41
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,IntrCity SmartBus,A/C Sleeper (2+1),02:25,03h 15m,05:40,4.2,769,29
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,IntrCity SmartBus,AC Sleeper (2+1),02:30,03h 30m,06:00,3.2,769,32
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,JBT TRAVELS,Non A/C Seater / Sleeper (2+1),02:30,03h 30m,06:00,3.5,699,32
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Om Sri Vinayaka Travels,A/C Seater / Sleeper (2+1),02:30,03h 45m,06:15,4.4,999,31
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,IRA Travels,A/C Sleeper (2+1),02:30,03h 00m,05:30,3.9,639,25
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,JBT TRAVELS,NON A/C Sleeper (2+1),02:30,03h 30m,06:00,3.6,699,28
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Sri Krishna Travels,Volvo Multi-Axle A/C Sleeper (2+1),02:45,03h 45m,06:30,3.5,800,28
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),02:55,03h 10m,06:05,3.4,484,33
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Zingbus Plus,A/C Sleeper (2+1),03:30,03h 35m,07:05,3.8,533,33
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Yes Express Tours and Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),02:59,02h 01m,05:00,3.1,1250,25
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,JBT TRAVELS,A/C Sleeper (2+1),03:00,03h 15m,06:15,3.5,999,21
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,BSR Tours And Travels,A/C Sleeper (2+1),03:00,04h 00m,07:00,4.5,880,28
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,VSR Tours and Travels,A/C Sleeper (2+1),03:00,04h 00m,07:00,4.4,679,28
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,BSR Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),03:15,04h 15m,07:30,4.5,1250,29
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Mythri Tours And Travels,A/C Sleeper (2+1),03:15,03h 45m,07:00,4.5,819,27
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Highline Transports,VE A/C Sleeper (2+1),03:15,03h 35m,06:50,4.3,800,23
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Go Tour Travels and Holidays,A/C Sleeper (2+1),03:15,03h 45m,07:00,4.1,854,25
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Ramana Tours And Travels,A/C Sleeper (2+1),03:20,03h 25m,06:45,4.3,579,35
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,BSR Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),03:20,03h 40m,07:00,4.5,1200,25
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),03:30,02h 00m,05:30,3.5,600,21
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,PRAMUKH TRAVELS,Volvo 9600 Multi-Axle A/C Sleeper (2+1),03:30,04h 00m,07:30,4.6,1245,32
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Go Tour Travels and Holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),03:30,04h 00m,07:30,4.1,1139,23
