bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,VEERA BRAHMENDRA TRAVELS,Non A/C Seater / Sleeper (2+1),23:35,06h 25m,06:00,4.4,450,28
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,BRS Travels,NON AC Seater / Sleeper 2+1,23:00,06h 30m,05:30,4.1,500,35
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,BRS Travels,A/C Sleeper (2+1),23:00,06h 30m,05:30,4.0,800,13
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,SLNS Travels,Non A/C Seater / Sleeper (2+1),23:00,07h 00m,06:00,4.2,500,24
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,INDHU BUS,Non A/C Seater / Sleeper (2+1),23:30,06h 05m,05:35,4.0,499,36
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Indu Travels,A/C Sleeper (2+1),23:30,05h 55m,05:25,4.2,899,21
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Zingbus Plus,A/C Sleeper (2+1),02:30,04h 35m,07:05,4.3,744,26
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,PRL BUS,Non A/C Seater / Sleeper (2+1),23:20,07h 10m,06:30,4.1,550,28
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Maheswari Travels,Non A/C Seater / Sleeper (2+1),23:30,05h 30m,05:00,3.9,550,36
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Indu Travels,Non A/C Seater / Sleeper (2+1),23:30,06h 30m,06:00,4.0,499,36
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Indu Travels,Non A/C Seater / Sleeper (2+1),23:45,06h 00m,05:45,4.0,500,27
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,PRL BUS,Non A/C Seater / Sleeper (2+1),23:40,06h 45m,06:25,3.9,550,34
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Maheswari Travels,Non A/C Seater / Sleeper (2+1),23:30,05h 55m,05:25,3.8,499,32
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,SRI AVANI,Non A/C Seater / Sleeper (2+1),23:55,05h 35m,05:30,4.4,450,28
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,HARITHA TRAVELS,Non A/C Seater / Sleeper (2+1),23:59,06h 21m,06:20,4.2,398,29
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Indu Travels,Non A/C Seater / Sleeper (2+1),23:00,07h 00m,06:00,3.8,499,34
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Matangi Travels,Non A/C Seater / Sleeper (2+1),23:30,06h 05m,05:35,3.8,428,29
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,KNR TRAVELS,Non A/C Seater / Sleeper (2+1),23:45,05h 15m,05:00,4.6,500,28
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,AR & BCVR Travels,A/C Sleeper (2+1),23:59,05h 01m,05:00,4.7,930,35
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,INDHU BUS,Non A/C Seater / Sleeper (2+1),23:45,06h 50m,06:35,4.1,499,27
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,SREE RUDRA TRAVELS,Non A/C Seater / Sleeper (2+1),23:15,05h 45m,05:00,4.5,499,37
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Indu Travels,Non A/C Seater / Sleeper (2+1),23:30,06h 30m,06:00,3.7,499,32
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,AR & BCVR Travels,A/C Sleeper (2+1),23:40,05h 20m,05:00,4.6,950,38
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,AR & BCVR Travels,Non A/C Seater / Sleeper (2+1),23:59,05h 01m,05:00,3.9,600,36
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,PRL BUS,A/C Sleeper (2+1),23:45,05h 45m,05:30,3.4,1000,24
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,AR & BCVR Travels,Non A/C Seater / Sleeper (2+1),23:30,06h 00m,05:30,4.0,620,38
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,AR & BCVR Travels,Non A/C Seater / Sleeper (2+1),23:10,06h 20m,05:30,4.1,600,33
