bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),22:30,06h 40m,05:10,4.4,985,21
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,V Kaveri Travels,Scania AC Multi Axle Sleeper (2+1),23:20,06h 55m,06:15,4.3,1100,29
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,V Kaveri Travels,NON A/C Sleeper (2+1),22:45,07h 15m,06:00,4.2,900,26
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Kaveri Travels,A/C Sleeper (2+1),21:50,08h 05m,05:55,4.0,900,22
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Chandu Travels,A/C Sleeper (2+1),23:35,06h 55m,06:30,4.0,741,21
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,V Kaveri Travels,NON A/C Sleeper (2+1),22:00,07h 45m,05:45,4.0,900,29
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Sri Krishna Travels,A/C Sleeper (2+1),23:15,07h 15m,06:30,3.9,2000,20
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Vikram Travels,A/C Seater / Sleeper (2+1),23:15,07h 03m,06:18,4.5,549,32
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,V Kaveri Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:00,08h 00m,06:00,3.8,1100,24
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),22:15,07h 30m,05:45,3.8,2000,29
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:50,07h 40m,05:30,3.6,600,33
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:30,07h 38m,06:08,3.6,600,31
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Sri Krishna Travels,A/C Semi Sleeper / Sleeper (2+1),22:00,07h 40m,05:40,3.7,1290,28
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Mozo travels,A/C Sleeper (2+1),00:40,05h 50m,06:30,4.7,1080,21
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Sri Krishna Travels,NON A/C Semi Sleeper / Sleeper (2+1),22:30,07h 15m,05:45,3.6,1800,29
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Kamakshi Tours And Travels,A/C Seater / Sleeper (2+1),22:00,08h 50m,06:50,3.6,2000,45
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,VV Vinayak Travels,A/C Sleeper (2+1),22:10,07h 10m,05:20,3.6,950,24
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),23:30,07h 09m,06:39,4.0,1100,30
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,KKaveri Travels,Volvo Multi-Axle A/C Sleeper (2+1),23:30,07h 05m,06:35,3.8,1300,30
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Jagan Travels,Non A/C Seater / Sleeper (2+1),23:15,06h 45m,06:00,4.6,630,28
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Sri Sahasra Tours and Travels,A/C Seater / Sleeper (2+1),22:45,06h 45m,05:30,3.7,550,29
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,KKaveri Travels,Non A/C Seater / Sleeper (2+1),21:30,08h 20m,05:50,3.2,600,34
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Kaveri Travels,Non A/C Seater / Sleeper (2+1),23:10,07h 30m,06:40,3.4,700,32
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Sri Krishna Travels,A/C Sleeper (2+1),21:30,07h 45m,05:15,3.2,2000,24
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Vihari Travels ,Non A/C Seater / Sleeper (2+1),22:00,08h 30m,06:30,3.8,890,35
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:20,07h 20m,06:40,3.4,640,39
Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,KMBT Travels,NON A/C Hi-Tech Push Back (2+2),23:00,07h 20m,06:20,3.6,523,27
