bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,NueGo,Electric A/C Seater/Sleeper (2+1),00:45,03h 30m,04:15,,427,33
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Morning Star Travels,A/C Sleeper (2+1),01:20,03h 30m,04:50,3.0,600,28
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),01:25,03h 20m,04:45,3.5,310,21
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,SRKT Travels,Non A/C Seater / Sleeper (2+1),01:46,03h 14m,05:00,3.9,520,34
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Sree Sambhavi Tours and Travels,Non A/C Seater / Sleeper (2+1),02:30,03h 30m,06:00,3.4,500,36
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Morning Star Travels,A/C Sleeper (2+1),02:35,03h 35m,06:10,3.0,600,29
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Sai Sri Krishna Travels,A/C Seater / Sleeper (2+1),02:40,03h 50m,06:30,3.5,599,31
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Sai Sri Krishna Travels,A/C Seater / Sleeper (2+1),03:30,02h 40m,06:10,3.5,599,11
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),15:30,04h 00m,19:30,4.7,500,45
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,NueGo,Electric A/C Seater/Sleeper (2+1),19:45,03h 35m,23:20,,502,38
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:00,04h 00m,01:00,4.4,577,41
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,SVR Tours and Travels,A/C Seater / Sleeper (2+1),23:00,03h 00m,02:00,3.5,690,32
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,SVR Tours and Travels,A/C Seater / Sleeper (2+1),23:00,03h 00m,02:00,3.5,590,23
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Morning Star Travels,A/C Sleeper (2+1),01:50,03h 30m,05:20,3.0,600,30
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Morning Star Travels,A/C Sleeper (2+1),02:30,03h 50m,06:20,3.0,600,30
