bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,TSRTC - 8710,Lahari Non A/C Sleeper Cum Seater,14:00,04h 00m,18:00,2.1,348,42
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Sri VInayaka Travels(Siva's),A/C Seater / Sleeper (2+1),02:30,03h 50m,06:20,3.7,499,8
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,SRKT Travels,A/C Seater / Sleeper (2+1),02:30,04h 00m,06:30,3.9,640,4
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),02:45,03h 10m,05:55,3.1,500,6
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,SVR Tours and Travels,A/C Seater / Sleeper (2+1),03:00,04h 00m,07:00,3.7,360,8
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Zingbus Plus,A/C Sleeper (2+1),04:25,03h 55m,08:20,4.3,525,1
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Sri Tulasi Tours and Travels,Non A/C Seater / Sleeper (2+1),03:00,04h 15m,07:15,3.3,799,18
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,SVR Tours and Travels,A/C Seater / Sleeper (2+1),03:00,04h 00m,07:00,3.1,530,9
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,SVR Tours and Travels,Volvo Multi Axle Sleeper B11R (2+1),03:00,04h 30m,07:30,3.1,610,19
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Sri Tulasi Tours and Travels,A/C Seater / Sleeper (2+1),03:00,04h 15m,07:15,3.3,699,11
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Sri KVR Travels,A/C Seater / Sleeper (2+1),03:45,02h 45m,06:30,4.0,550,10
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,SAMANVI CITICONNECT,A/C Sleeper (2+1),06:15,04h 14m,10:29,4.1,809,1
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Ramana Tours And Travels,A/C Sleeper (2+1),04:10,04h 25m,08:35,4.1,579,2
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Jagan Travels,A/C Sleeper (2+1),04:30,04h 00m,08:30,4.0,450,2
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Mythri Tours And Travels,A/C Sleeper (2+1),05:00,03h 45m,08:45,4.9,889,5
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Sri Tulasi Tours and Travels,A/C Seater / Sleeper (2+1),05:30,04h 00m,09:30,3.3,750,12
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Jagan Travels,A/C Sleeper (2+1),05:30,05h 15m,10:45,4.0,599,9
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Mahadevv travels,Non A/C Seater / Sleeper (2+1),05:30,05h 00m,10:30,3.3,637,6
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,VARAHI TRAVELS,A/C Seater / Sleeper (2+1),07:00,05h 15m,12:15,3.3,880,1
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Navayuga Travels,A/C Sleeper (2+1),07:15,03h 45m,11:00,3.5,780,5
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,NueGo,Electric A/C Seater (2+2),13:45,04h 40m,18:25,,380,5
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,NueGo,Electric A/C Seater/Sleeper (2+1),19:05,04h 20m,23:25,,297,30
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,IRA Travels,A/C Seater / Sleeper (2+1),21:55,04h 25m,02:20,3.9,850,33
