bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,BHAIRAVA TOURS AND TRAVELS,Non A/C Seater / Sleeper (2+1),00:30,06h 00m,06:30,3.2,499,32
Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Royal Voyage Travels (RVT),A/C Seater / Sleeper (2+1),00:50,05h 20m,06:10,4.1,600,31
Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Abhishek Bus,A/C Sleeper (2+1),01:30,05h 45m,07:15,3.6,900,14
Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Abhishek Bus,Scania Multi-Axle AC Semi Sleeper (2+2),23:20,07h 00m,06:20,4.6,399,35
Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,PRL BUS,Non A/C Seater / Sleeper (2+1),23:30,06h 30m,06:00,3.2,500,36
Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,PRL BUS,Non A/C Seater / Sleeper (2+1),23:35,05h 25m,05:00,4.6,500,42
Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Maheswari Travels,Non A/C Seater / Sleeper (2+1),23:40,06h 00m,05:40,3.7,599,35
Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Maheswari Travels,Non A/C Seater / Sleeper (2+1),23:45,06h 05m,05:50,3.7,699,33
Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Sri Vinayaka Travels,NON A/C Seater/ Sleeper (2+1),23:45,05h 15m,05:00,4.2,499,41
Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Maheswari Travels,NON A/C Sleeper (2+1),23:50,06h 00m,05:50,3.7,899,23
Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,S R Travels,Non A/C Seater / Sleeper (2+1),23:50,05h 25m,05:15,3.8,700,40
Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Indu Travels,Non A/C Seater / Sleeper (2+1),23:50,05h 10m,05:00,3.2,700,35
