bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Shyamoli Paribahan Pvt Ltd,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),01:50,04h 10m,06:00,5.0,620,2
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Rajesh Transports,NON A/C Sleeper (2+1),02:00,04h 30m,06:30,4.8,847,8
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,KMBT Travels,A/C Seater / Sleeper (2+1),02:00,04h 00m,06:00,3.6,475,7
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,SRKT Travels,A/C Seater / Sleeper (2+1),02:00,04h 20m,06:20,3.9,800,11
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),02:00,05h 00m,07:00,3.1,599,3
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),02:00,03h 45m,05:45,3.3,612,5
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,SRKT Travels,A/C Seater / Sleeper (2+1),02:30,03h 30m,06:00,3.9,850,4
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Kaveri Travels,A/C Sleeper (2+1),02:30,03h 30m,06:00,3.3,450,2
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Rajesh Transports,Volvo 9600 Multi-Axle A/C Sleeper (2+1),02:30,04h 15m,06:45,3.1,975,11
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),03:00,04h 30m,07:30,3.5,700,1
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Rajesh Transports,Volvo 9600 Multi-Axle A/C Sleeper (2+1),03:20,04h 10m,07:30,4.8,2438,1
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,IntrCity SmartBus,AC Sleeper (2+1),03:30,03h 35m,07:05,3.8,765,7
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,IntrCity SmartBus,A/C Seater / Sleeper (2+1),03:30,03h 40m,07:10,4.4,499,4
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Shree Manikanta Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),03:30,03h 15m,06:45,3.4,478,15
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Abhishek Bus,A/C Seater / Sleeper (2+1),03:30,05h 20m,08:50,3.3,780,6
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Sri Tulasi Tours and Travels,A/C Sleeper (2+1),04:00,04h 30m,08:30,3.4,849,17
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),04:00,04h 20m,08:20,4.4,599,4
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,IntrCity SmartBus,A/C Seater / Sleeper (2+1),04:00,04h 30m,08:30,4.3,552,3
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Rajesh Transports,A/C Seater / Sleeper (2+1),04:00,03h 50m,07:50,4.5,600,18
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Abhishek Bus,A/C Seater/Sleeper (2+1),04:15,04h 30m,08:45,3.4,480,13
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Zingbus Plus,A/C Seater / Sleeper (2+1),04:30,04h 45m,09:15,4.3,459,15
