bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Sai Sri Krishna Travels,A/C Sleeper (2+1),23:00,07h 30m,06:30,4.7,950,23
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:00,08h 00m,04:00,4.5,553,42
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Rajesh Transports,NON A/C Sleeper (2+1),23:30,06h 15m,05:45,4.5,1200,28
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Svkdt travels,A/C Sleeper (2+1),23:00,07h 45m,06:45,4.2,990,28
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),20:45,07h 15m,04:00,4.3,906,38
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Zingbus Plus,A/C Seater / Sleeper (2+1),20:35,07h 55m,04:30,4.6,478,26
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Srivari Travels,A/C Seater / Sleeper (2+1),19:30,08h 25m,03:55,4.2,770,26
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Gupta Travels Galaxy,VE A/C Sleeper (2+1),22:30,07h 30m,06:00,4.0,808,25
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Svkdt travels,A/C Sleeper (2+1),21:30,07h 00m,04:30,4.6,1352,29
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),18:00,08h 45m,02:45,4.2,780,22
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Morning Star Travels,A/C Sleeper (2+1),22:45,07h 00m,05:45,3.3,790,30
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Rajesh Transports,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:00,07h 30m,02:30,4.8,1426,23
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,IntrCity SmartBus,AC Sleeper (2+1),22:25,08h 25m,06:50,4.6,733,34
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),19:30,07h 30m,03:00,4.6,699,41
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Orange Tours and Travels Platinum,Volvo Multi-Axle Sleeper A/C (2+1),22:45,06h 15m,05:00,3.1,1200,41
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,RK Travels,Non A/C Seater / Sleeper (2+1),20:30,08h 00m,04:30,3.4,499,29
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Rajesh Transports,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:50,07h 30m,03:20,4.7,1411,26
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),21:50,08h 40m,06:30,3.7,550,33
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Intercity travels,Bharat Benz A/C Sleeper (2+1),19:20,07h 40m,03:00,4.8,1211,24
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Srivari Travels,Non A/C Seater / Sleeper (2+1),20:30,08h 00m,04:30,3.4,680,28
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,IRA Travels,A/C Sleeper (2+1),20:00,08h 25m,04:25,3.7,1100,18
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Cherry Collars,Bharat Benz A/C Sleeper (2+1),23:45,06h 45m,06:30,4.7,3590,30
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Rajesh Transports,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:35,06h 40m,04:15,4.7,1709,33
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,CCC Bus,A/C Sleeper (2+1),19:55,07h 35m,03:30,4.4,1813,29
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Vsaikrishna Travels,A/C Seater / Sleeper (2+1),23:00,09h 00m,08:00,2.8,3000,42
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Sri Krishna Travels,A/C Sleeper (2+1),20:10,07h 50m,04:00,3.8,1300,32
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Intercity travels,Bharat Benz A/C Sleeper (2+1),18:30,07h 45m,02:15,5.0,1111,21
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),15:50,08h 05m,23:55,3.8,1300,24
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Naveen Tours and Travels,A/C Seater / Sleeper (2+1),03:45,06h 45m,10:30,,3999,45
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Naveen Tours and Travels,A/C Seater/Sleeper (2+1),03:45,06h 45m,10:30,,3999,44
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Ravindra Tours and Travels,NON A/C Sleeper (2+1),20:40,06h 20m,03:00,,844,29
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Chalasani Travels (Kaleswari),A/C Sleeper (2+1),18:15,07h 45m,02:00,4.6,1100,26
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Morning Star Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),22:45,06h 40m,05:25,3.5,890,36
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:45,06h 30m,03:15,5.0,970,22
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Navayuga Travels,A/C Sleeper (2+1),21:15,07h 25m,04:40,4.2,1780,26
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Sri Krishna Travels,A/C Seater / Sleeper (2+1),22:15,08h 30m,06:45,3.5,1490,28
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Svkdt travels,Scania AC Multi Axle Sleeper (2+1),19:30,07h 55m,03:25,3.3,1390,25
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,IntrCity SmartBus,AC Sleeper (2+1),19:30,08h 00m,03:30,4.0,974,31
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Shyamoli Paribahan Pvt Ltd,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),18:30,07h 30m,02:00,4.1,1320,29
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),19:00,08h 30m,03:30,3.5,624,40
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Abhishek Bus,A/C Seater/Sleeper (2+1),20:00,08h 15m,04:15,3.9,980,34
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),16:30,08h 25m,00:55,3.7,800,28
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,IntrCity SmartBus,Volvo Multi Axle Sleeper B11R (2+1),20:30,07h 30m,04:00,3.6,1017,38
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Rajesh Transports,A/C Seater / Sleeper (2+1),20:50,07h 10m,04:00,3.9,641,30
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Sri Tulasi Tours and Travels,A/C Sleeper (2+1),22:30,07h 00m,05:30,4.3,1549,24
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Orange Tours and Travels Grand,A/C Sleeper (2+1),15:30,08h 00m,23:30,2.9,1100,28
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Navayuga Travels,A/C Sleeper (2+1),22:15,07h 00m,05:15,4.0,1899,29
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Orange Tours And Travels,A/C Sleeper (2+1),21:40,07h 20m,05:00,3.0,1000,35
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Rajesh Transports,A/C Seater / Sleeper (2+1),20:50,07h 10m,04:00,4.2,900,15
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,IRA Travels,Bharat Benz A/C Sleeper (2+1),19:00,08h 50m,03:50,3.7,810,36
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Jagan Travels,A/C Sleeper (2+1),21:00,06h 45m,03:45,3.6,1300,21
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Abhishek Bus,A/C Sleeper (2+1),16:00,07h 30m,23:30,3.2,949,32
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,IRA Travels,Bharat Benz A/C Sleeper (2+1),17:30,07h 30m,01:00,2.9,990,23
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Svkdt travels,A/C Sleeper (2+1),18:30,07h 45m,02:15,3.6,1290,22
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Komitla Trans lines.,NON A/C Sleeper (2+1),18:00,07h 45m,01:45,3.2,824,24
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Orange Tours and Travels Grand,A/C Sleeper (2+1),21:30,06h 50m,04:20,2.0,1000,31
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Sri Tulasi Tours and Travels,A/C Sleeper (2+1),23:30,06h 30m,06:00,2.9,2200,28
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Svkdt travels,A/C Sleeper (2+1),20:15,08h 15m,04:30,2.6,990,23
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Sri Krishna Travels,A/C Sleeper (2+1),18:10,08h 10m,02:20,2.4,1300,23
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Orange Tours And Travels,A/C Sleeper (2+1),20:30,07h 30m,04:00,1.5,1200,33
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,GRV Yatrikha LLP,Scania AC Multi Axle Sleeper (2+1),17:00,06h 59m,23:59,2.4,1750,17
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Sri Krishna Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),19:10,07h 40m,02:50,2.2,2190,30
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Sri Krishna Travels,A/C Seater / Sleeper (2+1),02:30,07h 00m,09:30,2.7,1400,29
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Rajesh Transports,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:00,08h 00m,02:00,2.7,1275,8
Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Svkdt travels,A/C Sleeper (2+1),22:30,06h 45m,05:15,2.0,1490,25
