bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Gola Bus Service,A/C Seater/Sleeper (2+1),20:00,13h 00m,09:00,4.8,699,36
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),18:30,11h 55m,06:25,4.7,495,36
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),18:30,13h 50m,08:20,4.6,649,36
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,AdB S Holiday Travels,A/C Seater / Sleeper (2+2),22:45,12h 30m,11:15,Ad,1199,38
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:30,12h 45m,10:15,4.5,950,36
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),22:30,13h 00m,11:30,4.4,760,34
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:00,13h 00m,06:00,4.3,603,32
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,AdTravel Point,A/C Seater / Sleeper (2+2),22:30,12h 45m,11:15,Ad,994,50
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Zingbus Plus,A/C Sleeper (2+1),22:00,09h 50m,07:50,4.5,561,27
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:30,10h 10m,06:40,4.3,510,31
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),20:30,12h 00m,08:30,4.7,630,35
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,12h 30m,07:00,4.2,950,37
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,VE A/C Seater / Sleeper (2+1),21:50,12h 30m,10:20,4.2,522,43
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),22:00,13h 00m,11:00,4.1,712,36
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),18:00,13h 00m,07:00,4.3,712,36
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:10,12h 30m,09:40,4.7,499,38
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,VE A/C Seater / Sleeper (2+2),21:00,13h 00m,10:00,4.0,522,64
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,VE A/C Seater / Sleeper (2+2),19:30,13h 20m,08:50,4.2,522,64
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Goel Tourist (Regd),A/C Seater / Sleeper (2+2),17:30,13h 00m,06:30,3.8,888,44
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Ashok Bus Service,VE A/C Seater / Sleeper (2+1),18:45,13h 30m,08:15,4.8,499,32
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,B S Holiday Travels,A/C Seater / Sleeper (2+2),22:30,12h 30m,11:00,3.9,599,42
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Awadh Travels,A/C Sleeper (2+2),19:40,13h 00m,08:40,3.8,1019,46
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,RK Holiday,A/C Seater / Sleeper (2+2),22:10,12h 45m,10:55,3.6,699,32
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),20:30,13h 00m,09:30,3.7,619,30
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),18:00,13h 30m,07:30,3.6,619,28
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Kingfisher Busline Pvt Ltd,Volvo A/C Multi-Axle Semi Sleeper (2+2),09:40,12h 40m,22:20,,1999,49
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,PRAKASH TOURISM,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),18:05,12h 00m,06:05,,1600,49
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),23:00,12h 20m,11:20,3.4,619,31
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Big Bus,A/C Seater / Sleeper (2+2),20:30,10h 30m,07:00,2.7,599,39
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,CAPITAL HOLIDAYS,A/C Seater / Sleeper (2+2),22:30,12h 00m,10:30,3.3,539,38
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Ashok Bus Service,A/C Seater / Sleeper (2+2),21:45,12h 45m,10:30,3.0,649,37
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,CAPITAL HOLIDAYS,A/C Seater / Sleeper (2+2),17:00,12h 00m,05:00,3.0,539,39
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Ashok Bus Service,A/C Seater / Sleeper (2+2),23:35,13h 25m,13:00,2.1,649,41
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Armaan Tour & Travels,A/C Seater / Sleeper (2+1),14:00,14h 00m,04:00,1.6,719,48
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Big Bus,A/C Seater / Sleeper (2+2),17:35,12h 00m,05:35,2.3,599,39
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,RK Holiday,A/C Seater / Sleeper (2+2),18:40,13h 20m,08:00,3.1,1199,29
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Khurana Bus Service,Volvo A/C (2+2),08:00,13h 45m,21:45,2.5,594,27
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,CAPITAL HOLIDAYS,A/C Seater / Sleeper (2+2),20:30,12h 00m,08:30,2.8,539,36
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Goel Tourist (Regd),A/C Seater / Sleeper (2+2),20:50,12h 10m,09:00,3.5,788,44
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Khurana Bus Service,Bharat Benz A/C Seater (2+2),12:40,12h 00m,00:40,2.5,680,33
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Shub Yatra Holidays,A/C Sleeper (2+2),22:45,12h 15m,11:00,2.6,1199,30
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Khurana Bus Service,Volvo A/C (2+2),10:00,13h 00m,23:00,2.5,655,32
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,CAPITAL HOLIDAYS,A/C Seater / Sleeper (2+2),15:30,12h 00m,03:30,2.9,539,38
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Lucky Bus Service,VE A/C Sleeper (2+2),17:00,12h 30m,05:30,3.6,1619,32
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,SHAH HOLIDAY TRAVEL,Bharat Benz A/C Seater / Sleeper (2+2),21:00,13h 00m,10:00,2.5,1099,35
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Travel Point,A/C Seater / Sleeper (2+2),21:30,12h 45m,10:15,1.5,723,50
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Shiv Mohan Travels,AC Sleeper (2+1),18:20,14h 40m,09:00,4.3,1157,36
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Travel Point,A/C Seater / Sleeper (2+2),19:15,13h 15m,08:30,3.4,542,44
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,FlixBus,Bharat Benz A/C Sleeper (2+1),18:30,13h 35m,08:05,4.5,679,36
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,FlixBus,A/C Sleeper (2+1),21:00,13h 35m,10:35,4.0,601,31
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,NEW KING BUS SERVICE,A/C Seater / Sleeper (2+2),22:45,11h 25m,10:10,3.4,1449,34
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,KVS Holidays,A/C Seater / Sleeper (2+2),17:00,12h 30m,05:30,3.1,719,42
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,BSS COOL COOL TRAVELS,A/C Seater / Sleeper (2+2),19:00,12h 00m,07:00,4.8,1549,8
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Lavish Travels,A/C Seater / Sleeper (2+2),18:15,14h 00m,08:15,2.9,569,46
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Lucky Bus Service,VE A/C Sleeper (2+2),19:30,11h 50m,07:20,2.9,1619,32
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,BSS COOL COOL TRAVELS,A/C Seater / Sleeper (2+2),21:45,11h 45m,09:30,3.8,799,18
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Travel Point World LLP,A/C Seater / Sleeper (2+2),18:30,13h 20m,07:50,3.5,569,46
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,New National Travels,A/C Seater / Sleeper (2+2),22:30,12h 30m,11:00,3.3,1304,32
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Jamna Travels (Delhi),A/C Seater / Sleeper (2+2),20:00,13h 15m,09:15,2.4,949,24
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,VIKAS TRAVELS ®,A/C Seater/Sleeper (2+1),21:55,12h 05m,10:00,3.2,1904.76,44
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,MM Travels,A/C Seater / Sleeper (2+2),11:00,12h 00m,23:00,1.0,799,40
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,DS Hari Travels,A/C Seater / Sleeper (2+2),21:00,13h 00m,10:00,2.2,800,48
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Apex Bus Travels,A/C Seater / Sleeper (2+2),22:45,10h 00m,08:45,1.8,664,44
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Travel Point,A/C Seater / Sleeper (2+2),19:45,13h 15m,09:00,2.1,542,50
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Travel Point World LLP,A/C Seater / Sleeper (2+2),20:30,13h 20m,09:50,1.7,569,46
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Shiv Mohan Travels,AC Sleeper (2+1),18:20,14h 40m,09:00,4.3,1285,36
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Gola Bus Service,VE A/C Seater / Sleeper (2+1),18:00,13h 00m,07:00,4.8,1599,45
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Big Bus,A/C Seater / Sleeper (2+2),22:30,11h 30m,10:00,1.1,599,40
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Big Bus,A/C Seater / Sleeper (2+2),15:30,12h 00m,03:30,1.7,599,41
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,BSS COOL COOL TRAVELS,A/C Seater / Sleeper (2+1),21:00,11h 45m,08:45,4.2,1699,54
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Vaishnoyatra services pvt ltd,A/C Seater / Sleeper (2+2),22:00,11h 30m,09:30,3.0,900,40
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Vaishnoyatra services pvt ltd,A/C Seater / Sleeper (2+2),20:30,11h 45m,08:15,3.0,1150,26
