bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Gola Bus Service,A/C Seater/Sleeper (2+1),20:20,11h 30m,07:50,4.9,699,36
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:10,13h 05m,09:15,4.6,466,32
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),20:00,11h 45m,07:45,4.5,514,40
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,AdAwadh Travels,A/C Sleeper (2+2),20:55,11h 45m,08:40,Ad,1019,46
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:15,11h 45m,08:00,4.4,1139,40
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),20:15,11h 15m,07:30,4.5,423,41
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:15,11h 15m,08:30,4.4,803,36
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Zingbus Plus,A/C Sleeper (2+1),21:20,12h 30m,09:50,4.8,691,25
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,11h 15m,06:00,4.4,950,42
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,VE A/C Seater / Sleeper (2+1),22:15,11h 35m,09:50,4.4,522,44
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),19:45,11h 15m,07:00,4.4,630,42
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Seater / Sleeper (2+1),20:45,10h 50m,07:35,4.5,949,40
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),18:15,11h 45m,06:00,4.4,855,34
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:35,11h 55m,05:30,4.2,571,45
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:30,11h 30m,09:00,4.2,855,36
