bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),07:30,03h 40m,11:10,4.6,359,33
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Greenline,Volvo A/C Seater (2+2),06:45,04h 10m,10:55,4.5,350,32
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),07:15,04h 00m,11:15,4.4,400,10
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),08:15,03h 45m,12:00,4.2,400,37
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,04h 15m,03:45,4.6,500,28
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Greenline,Volvo A/C Seater (2+2),06:30,04h 20m,10:50,4.4,350,45
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Express Line,Volvo 9600 A/C Seater (2+2),23:45,04h 20m,04:05,4.7,359,40
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Santosh Bus Service,A/C Seater Push Back (2+3),06:00,03h 45m,09:45,4.1,315,34
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),06:45,04h 30m,11:15,3.8,474,31
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Parameswar Travels,A/C Seater Push Back (2+3),07:35,04h 10m,11:45,3.1,243,36
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Sagufta Travels (Jackson),A/C Seater (2+2),08:00,04h 00m,12:00,4.1,365,20
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Jay Baba Bhutnath,A/C Seater (2+3),08:30,04h 00m,12:30,4.1,300,25
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,City Express,AC Seater (2+3),06:00,03h 50m,09:50,3.9,320,26
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Snemita Parisheba (Manikanchan),AC Seater (2+3),06:35,04h 15m,10:50,3.8,352,10
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,City Express,AC Seater (2+3),07:00,03h 30m,10:30,5.0,370,29
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Mayuri Express,AC Seater (2+2),23:15,03h 45m,03:00,4.8,400,29
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Sagufta Travels (Snemita),A/C Seater (2+3),05:35,03h 50m,09:25,3.6,315,25
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Sagufta Travels(Shinjini),A/C Seater (2+3),05:50,03h 55m,09:45,3.5,365,22
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Snemita Paribahan,AC Seater (2+3),06:00,03h 50m,09:50,4.3,320,23
