bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),14:30,03h 45m,18:15,4.6,349,46
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),14:15,04h 10m,18:25,4.4,400,25
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),10:35,04h 45m,15:20,4.3,450,37
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),14:30,04h 25m,18:55,4.4,400,40
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Express Line,Volvo 9600 A/C Seater (2+2),11:10,04h 10m,15:20,4.2,359,42
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Greenline,Volvo A/C Seater (2+2),14:10,04h 15m,18:25,4.1,350,43
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Greenline,Volvo A/C Seater (2+2),14:00,04h 15m,18:15,4.1,350,43
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),13:45,03h 45m,17:30,4.0,474,51
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Mayuri Express,AC Seater (2+2),11:20,04h 10m,15:30,4.1,420,35
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Monikanchan Bus Service,A/C Seater (2+3),14:10,03h 35m,17:45,4.6,375,52
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Sandhya Travels,A/C Seater Push Back (2+3),12:50,04h 35m,17:25,3.1,350,50
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Maa Chandi Travels,A/C Seater / Sleeper (2+2),15:20,03h 50m,19:10,3.6,400,19
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Mayuri Express,A/C Seater (2+3),11:45,04h 15m,16:00,4.0,300,43
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Santosh Bus Service,A/C Seater Push Back (2+3),05:15,03h 45m,09:00,4.2,287,41
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Santosh Bus Service,A/C Seater Push Back (2+3),12:10,03h 30m,15:40,3.4,342,30
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Maa Chandi Travels,A/C Seater / Sleeper (2+2),13:20,03h 55m,17:15,4.1,400,17
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Parisheba(Santosh),AC Seater (2+3),12:10,03h 30m,15:40,3.1,352,31
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Monikanchan Bus Service,Non AC Seater (2+3),12:25,03h 50m,16:15,3.9,215,47
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Paribahan,AC Seater (2+3),13:00,03h 40m,16:40,4.7,370,56
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Ankita Paribahan(Atithi),A/C Seater (2+3),11:25,04h 20m,15:45,3.7,399,41
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Parisheba (Santosh),AC Seater (2+3),11:35,03h 55m,15:30,3.8,257,30
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Paribahan,AC Seater (2+3),12:25,04h 00m,16:25,3.4,320,30
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,City Express (Shinjini),AC Seater (2+3),16:00,03h 55m,19:55,3.9,370,25
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,City Express,AC Seater (2+3),12:25,04h 00m,16:25,3.8,370,26
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,City Express (Jackson),AC Seater (2+2),14:15,04h 00m,18:15,3.2,270,20
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Ankita Paribahan(Atithi),A/C Seater Push Back (2+3),12:55,03h 50m,16:45,2.7,352,41
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Monikanchan Bus Service,A/C Seater (2+3),13:30,03h 30m,17:00,3.4,375,49
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Parisheba (Manikanchan),AC Seater (2+3),12:50,03h 55m,16:45,3.1,352,20
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Monikanchan Bus Service,A/C Seater (2+3),13:10,03h 30m,16:40,3.8,375,23
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Ankita Paribahan (Maity Motor),A/C Seater Push Back (2+3),13:45,03h 45m,17:30,3.0,352,40
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Bengal Surface Transport,A/C Seater Push Back (2+3),18:05,04h 25m,22:30,3.0,419,36
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Sree Jagannath Travels,A/C Seater Push Back (2+3),14:40,04h 20m,19:00,2.7,309,29
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Ankita Paribahan (Maity),A/C Seater Push Back (2+3),10:30,03h 50m,14:20,2.1,380,51
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Sagufta Travels(Atithi),A/C Seater Push Back (2+3),11:20,04h 40m,16:00,2.6,315,20
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Samanta Travels,A/C Seater (2+3),09:40,04h 00m,13:40,2.2,300,20
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Haimanti Bus Service,AC Seater (2+3),06:35,03h 55m,10:30,1.8,230,20
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Parameswar Travels,A/C Seater Push Back (2+2),11:00,04h 10m,15:10,2.7,302,18
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,City Express (Shinjini),AC Seater (2+3),16:40,03h 50m,20:30,2.3,370,25
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Santosh Bus Service,A/C Seater Push Back (2+3),11:30,03h 15m,14:45,2.4,324,28
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Parisheba,AC Seater (2+3),11:30,03h 50m,15:20,2.4,352,31
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Parameswar Travels,A/C Seater Push Back (2+3),11:45,04h 15m,16:00,1.4,243,26
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Paribahan(Maa Gauri Gold),AC Seater (2+3),05:30,04h 00m,09:30,2.6,320,25
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Parisheba(SNEHA GOLD),AC Seater (2+3),17:10,04h 00m,21:10,2.4,352,46
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Bengal Surface Transport,A/C Seater Push Back (2+3),11:00,04h 30m,15:30,2.3,399,61
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Parameswar Travels,A/C Seater Push Back (2+3),09:50,04h 25m,14:15,1.6,288,36
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Ankita Paribahan(Parameswar),AC Seater (2+2),11:00,03h 40m,14:40,2.1,380,38
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Snemita Paribahan (Angel),AC Seater (2+3),14:30,04h 00m,18:30,2.1,320,30
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Ankita Paribahan(Parameswar),A/C Seater (2+3),10:10,03h 45m,13:55,2.0,304,36
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Subhadip Travels,A/C Executive (2+3),10:40,04h 00m,14:40,,276,46
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Subhadip Travels,Non AC Seater (2+3),09:40,04h 00m,13:40,,399,31
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Subhadip Travels,A/C Executive (2+3),15:40,04h 00m,19:40,,399,31
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Subhadip Travels,A/C Seater (2+3),09:00,03h 50m,12:50,,276,66
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Subhadip Travels,A/C Executive (2+3),13:10,03h 50m,17:00,,399,60
