bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,Raj Kalpana Travels Pvt.ltd.,A/C Seater/Sleeper (2+1),01:30,04h 50m,06:20,4.6,799,32
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,FlixBus,A/C Seater (2+2),01:50,04h 15m,06:05,3.9,157,44
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,Anshi Raj Shree Travels,A/C Seater/Sleeper (2+1),02:00,03h 00m,05:00,4.0,1044,28
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,Raj Kalpana Travels Pvt.ltd.,A/C Seater/Sleeper (2+1),02:10,03h 40m,05:50,3.0,559,38
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,Raj Kalpana Travels Pvt.Ltd,Non A/C Seater / Sleeper (2+1),02:15,03h 15m,05:30,3.6,499,29
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,Rajdhani Tourist Bus Service,A/C Sleeper (2+1),02:45,03h 15m,06:00,3.9,764,10
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),03:10,03h 15m,06:25,3.5,358,32
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,Raj Kalpana Travels Pvt.ltd.,VE A/C Sleeper (2+1),02:40,03h 00m,05:40,3.6,499,26
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,Ashok Travels Mandsaur Group,Volvo 9600 Multi-Axle A/C Sleeper (2+1),06:00,03h 00m,09:00,3.7,810,42
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,Raj Kalpana Travels Pvt.Ltd,Bharat Benz A/C Seater /Sleeper (2+1),02:50,03h 00m,05:50,3.6,976,25
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),03:00,04h 00m,07:00,3.5,417,36
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,FlixBus,A/C Seater (2+2),03:00,03h 50m,06:50,3.9,312,30
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),03:11,03h 39m,06:50,4.3,569,32
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,FlixBus,A/C Sleeper (2+1),03:55,03h 25m,07:20,4.3,364,16
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,BSS COOL COOL TRAVELS,A/C Seater / Sleeper (2+1),04:00,02h 30m,06:30,4.1,1099,28
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,FlixBus,A/C Seater (2+2),04:25,04h 10m,08:35,3.8,198,20
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,Raj Kalpana Travels Pvt.Ltd,A/C Seater/Sleeper (2+1),04:30,03h 00m,07:30,3.6,629,23
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,FlixBus,A/C Sleeper (1+2),05:25,03h 40m,09:05,3.6,557,8
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,FlixBus,A/C Sleeper (2+1),05:50,03h 40m,09:30,3.9,210,19
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),06:00,04h 15m,10:15,,284,30
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),08:00,04h 15m,12:15,,284,39
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),09:00,04h 35m,13:35,,284,42
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),10:00,04h 35m,14:35,,284,38
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),12:00,04h 45m,16:45,,284,38
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),13:00,04h 45m,17:45,,427,44
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),14:00,04h 45m,18:45,,284,41
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),15:00,04h 45m,19:45,,284,41
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),16:00,04h 40m,20:40,,284,44
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),16:30,04h 35m,21:05,,427,44
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,FlixBus,A/C Seater (2+2),17:00,05h 15m,22:15,4.0,157,42
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,NueGo,Electric A/C Seater (2+2),17:00,04h 35m,21:35,,284,43
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,Raj Kalpana Travels Pvt.ltd.,Bharat Benz A/C Seater /Sleeper (2+1),17:30,03h 30m,21:00,3.6,509,28
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi,AGRA TRAVELSENSE,AC Seater (2+2),17:30,04h 30m,22:00,3.0,399,37
