bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Gobus,VE A/C Sleeper (2+1),21:32,08h 50m,06:22,4.7,650,23
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 40m,09:10,4.6,650,25
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,11h 30m,10:00,4.5,649,22
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,AdIntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:20,10h 55m,09:15,Ad,636,29
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:30,10h 00m,07:30,4.4,599,29
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,IntrCity SmartBus,AC Sleeper (2+1),18:30,10h 55m,05:25,4.4,928,20
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:00,10h 55m,08:55,4.4,599,31
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,AdIntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),20:30,10h 00m,06:30,Ad,399,38
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Zingbus Plus,VE A/C Sleeper (2+1),19:40,10h 30m,06:10,4.4,537,22
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),18:00,12h 10m,06:10,4.5,699,24
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,IntrCity SmartBus,AC Sleeper (2+1),21:00,10h 05m,07:05,4.3,656,29
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:10,11h 10m,05:20,4.1,599,24
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,IntrCity SmartBus,AC Sleeper (2+1),19:30,10h 10m,05:40,4.3,663,22
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Gobus,NON A/C Sleeper (2+1),20:01,10h 30m,06:31,4.2,399,22
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Zingbus Plus,VE A/C Sleeper (2+1),21:05,10h 40m,07:45,4.3,494,24
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),22:00,11h 30m,09:30,4.1,1050,32
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,09h 45m,07:45,4.3,599,25
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels(KVT Narmada Red),Bharat Benz A/C Sleeper (2+1),21:16,10h 15m,07:31,4.1,450,22
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),18:00,12h 15m,06:15,4.2,820,24
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Amrutyog Travels,A/C Sleeper (2+1),19:00,11h 22m,06:22,4.1,499,29
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Prasanna - Purple Bus,VE A/C Sleeper (2+1),17:00,12h 00m,05:00,4.1,720,28
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Laxmi Queen Prime,A/C Sleeper (2+1),19:30,11h 00m,06:30,4.1,699,26
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,11h 30m,06:30,4.1,399,39
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),21:00,10h 15m,07:15,3.9,699,32
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Giroba Travels (Kelkar),NON A/C Airbus (2+2),18:00,11h 30m,05:30,4.1,350,34
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Laxmi Queen Asta,A/C Sleeper (2+1),20:30,10h 30m,07:00,4.1,699,30
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels (Humsafar),Bharat Benz A/C Sleeper (2+1),19:30,09h 30m,05:00,3.9,650,19
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels ( Ashray ),A/C Sleeper (2+1),22:02,10h 15m,08:17,3.8,450,29
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels (Shreyas),Bharat Benz A/C Sleeper (2+1),20:03,09h 45m,05:48,3.8,550,13
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:15,09h 30m,07:45,4.2,900,31
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,"National Travels,Goa",NON A/C Sleeper (2+1),19:00,11h 20m,06:20,4.6,499,22
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Gobus,NON A/C Sleeper (2+1),21:02,10h 30m,07:32,4.7,330,23
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels (Shreyas),NON A/C Sleeper (2+1),20:30,10h 30m,07:00,3.6,330,25
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels (Dolphin),A/C Sleeper (2+1),17:30,11h 30m,05:00,3.6,445,29
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Indumati Travels,A/C Sleeper (2+1),20:15,10h 00m,06:15,4.0,1000,19
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Indumati Travels,A/C Sleeper (2+1),21:00,10h 00m,07:00,4.0,800,23
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels (Dolphin),A/C Sleeper (2+1),14:00,11h 00m,01:00,3.6,601,29
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:00,09h 30m,07:30,4.0,820,31
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels (Unity),A/C Sleeper (2+1),20:00,10h 30m,06:30,4.0,399,29
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Laxmi Empress Stellar,NON A/C Sleeper (2+1),19:45,11h 00m,06:45,3.9,650,9
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels (Dolphin),A/C Sleeper (2+1),16:30,11h 55m,04:25,3.7,555,27
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,VAILANKANNI TRAVELS,VE A/C Sleeper (2+1),18:30,12h 25m,06:55,3.5,450,30
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),20:00,12h 05m,08:05,3.7,1299,33
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels (Dolphin),AC Sleeper (2+1),18:30,11h 00m,05:30,3.5,450,19
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels (Dolphin),A/C Sleeper (2+1),15:30,11h 00m,02:30,3.5,599,25
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,PSR Travels (Vaibhav),A/C Sleeper (2+1),22:30,09h 00m,07:30,3.5,799,26
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,PSR Travels Goa,A/C Sleeper (2+1),19:15,10h 45m,06:00,3.9,899,26
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Giroba Travels (Kelkar),Non A/C Seater / Sleeper (2+1),17:45,11h 45m,05:30,3.4,350,32
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels (Vaibhav),A/C Sleeper (2+1),22:31,10h 00m,08:31,2.9,799,17
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Gujarat Travels,Bharath Benz A/C Sleeper (2+2),12:40,11h 10m,23:50,2.1,900,39
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Laxmi Queen Grand,A/C Sleeper (2+1),21:00,11h 00m,08:00,3.4,799,28
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Manish Sharma Travels,A/C Sleeper (2+1),17:30,11h 30m,05:00,2.0,750,24
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Travels(GTA),A/C Sleeper (2+1),19:00,11h 00m,06:00,4.0,399,25
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Sai Travels,A/C Sleeper (2+1),19:45,09h 30m,05:15,4.9,444,22
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,PSR Travels Goa,A/C Sleeper (2+1),19:45,10h 15m,06:00,3.6,850,27
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Giroba Travels,A/C Sleeper (2+1),16:01,14h 59m,07:00,3.4,599,27
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Manish Travels,NON A/C Seater (2+2),16:45,12h 50m,05:35,2.7,400,30
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Anand Travels,NON A/C Sleeper (2+1),18:00,10h 00m,04:00,2.7,710,19
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Jolly Tours and Travels,A/C Sleeper (2+1),18:30,11h 15m,05:45,3.5,700,28
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Manish Roshan Travels,A/C Sleeper (2+1),19:00,11h 30m,06:30,3.6,750,30
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,UNIQUE TOURS AND TRAVELS,A/C Seater (2+2),21:00,12h 00m,09:00,5.0,300,32
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Manish Travels,Non AC Seater (2+2),16:30,11h 30m,04:00,2.6,450,32
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,"National Travels,Goa",NON A/C Sleeper (2+1),18:00,11h 30m,05:30,3.7,650,23
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Jolly Tours and Travels,VE A/C Sleeper (2+1),17:30,11h 15m,04:45,3.7,1500,27
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,"National Travels,Goa",A/C Sleeper (2+1),19:00,11h 30m,06:30,3.7,700,30
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Giroba Travels (Patil),A/C Sleeper (2+1),20:00,10h 00m,06:00,3.4,575,22
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,PVS Tours and Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:00,10h 00m,06:00,3.3,3000,36
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Manish Travels,A/C Sleeper (2+1),18:00,11h 30m,05:30,2.6,750,24
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Manish Sharma Travels,A/C Sleeper (2+1),20:00,11h 30m,07:30,2.6,750,36
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,KOKAN TOURS & TRAVELS,NON A/C Sleeper (2+1),15:15,12h 47m,04:02,1.6,5000,20
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,VRL Travels,A/C Sleeper (2+1),19:30,10h 00m,05:30,3.7,750,23
