routename,routelink
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar
Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra
Mendhar (J & K) to Jammu (j and k),https://www.redbus.in/bus-tickets/mendhar-j-k-to-jammu
Jammu (j and k) to Poonch,https://www.redbus.in/bus-tickets/jammu-to-poonch
